age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
36,management,married,tertiary,no,361,no,no,cellular,5,jun,200,2,-1,0,unknown,no
37,management,married,tertiary,no,392,no,no,cellular,6,aug,115,2,-1,0,unknown,no
40,blue-collar,married,secondary,no,1145,yes,no,cellular,15,may,175,4,-1,0,unknown,no
52,services,single,secondary,no,0,yes,no,cellular,11,may,329,2,-1,0,unknown,no
31,technician,divorced,secondary,no,-174,no,yes,cellular,30,jul,113,10,-1,0,unknown,no
31,services,single,secondary,no,85,no,no,cellular,16,jul,151,1,-1,0,unknown,no
29,technician,single,tertiary,no,2489,yes,no,cellular,7,dec,1002,3,283,2,success,no
40,unemployed,divorced,secondary,no,6322,no,no,cellular,4,feb,459,1,272,1,failure,no
50,unemployed,married,tertiary,no,377,no,no,cellular,6,apr,283,1,319,3,failure,no
38,unemployed,married,tertiary,no,2812,yes,no,cellular,30,apr,830,1,-1,0,unknown,yes
34,self-employed,single,tertiary,no,2800,yes,no,unknown,14,may,668,1,-1,0,unknown,no
31,technician,single,secondary,no,40,no,no,cellular,7,aug,123,2,-1,0,unknown,no
53,admin.,married,secondary,no,264,yes,no,cellular,5,feb,159,1,-1,0,unknown,no
34,management,single,tertiary,no,747,no,no,cellular,25,may,109,1,-1,0,unknown,no
37,technician,single,tertiary,no,1309,no,no,unknown,6,jun,442,2,-1,0,unknown,no
34,services,married,secondary,no,0,yes,no,unknown,19,may,115,4,-1,0,unknown,no
47,technician,married,tertiary,no,2155,no,no,unknown,20,jun,178,3,-1,0,unknown,no
51,self-employed,married,tertiary,no,5350,yes,yes,cellular,31,jul,612,4,-1,0,unknown,yes
31,housemaid,married,secondary,no,0,yes,no,cellular,21,jul,171,1,-1,0,unknown,no
33,technician,single,secondary,no,18,no,no,cellular,22,aug,93,2,-1,0,unknown,no
43,management,married,tertiary,no,2987,no,no,cellular,11,mar,103,3,-1,0,unknown,no
45,technician,married,secondary,no,86,yes,no,unknown,5,may,270,1,-1,0,unknown,no
45,services,married,secondary,no,162,no,no,unknown,6,jun,166,4,-1,0,unknown,no
41,technician,married,tertiary,no,532,yes,no,cellular,20,apr,414,2,285,1,failure,no
38,technician,married,secondary,no,253,yes,no,unknown,5,may,416,1,-1,0,unknown,no
51,blue-collar,single,secondary,no,708,yes,no,telephone,14,may,391,1,364,1,failure,no
40,self-employed,single,tertiary,no,10346,no,no,cellular,15,jun,491,2,207,1,other,yes
26,blue-collar,married,secondary,no,818,no,no,cellular,9,jul,226,2,-1,0,unknown,no
34,unemployed,married,tertiary,no,582,yes,no,cellular,9,feb,189,3,-1,0,unknown,no
40,blue-collar,married,primary,no,540,yes,no,unknown,2,jun,21,1,-1,0,unknown,no
56,services,married,secondary,no,530,yes,no,unknown,20,may,51,7,-1,0,unknown,no
44,management,married,primary,no,1880,yes,no,cellular,18,nov,34,1,124,6,failure,no
33,technician,single,secondary,no,3499,yes,no,cellular,11,may,143,3,356,1,other,no
42,technician,married,tertiary,no,3777,yes,no,cellular,4,feb,139,4,-1,0,unknown,no
35,technician,divorced,secondary,no,44,yes,yes,cellular,7,may,366,1,167,2,failure,no
27,admin.,single,secondary,no,-215,yes,no,unknown,20,may,89,3,-1,0,unknown,no
44,technician,married,secondary,no,-153,no,yes,unknown,26,jun,197,1,-1,0,unknown,no
33,blue-collar,single,secondary,no,56,yes,no,unknown,8,may,112,2,-1,0,unknown,no
45,entrepreneur,married,secondary,no,107,no,no,cellular,19,aug,129,11,-1,0,unknown,no
56,admin.,divorced,secondary,no,778,yes,no,unknown,6,may,149,2,-1,0,unknown,no
41,blue-collar,divorced,primary,no,0,no,no,cellular,30,jul,509,2,-1,0,unknown,yes
42,self-employed,married,secondary,no,1216,yes,no,cellular,23,apr,296,1,521,1,failure,yes
30,services,single,secondary,yes,-366,yes,no,cellular,18,jul,516,1,-1,0,unknown,yes
54,services,divorced,unknown,no,2177,no,no,unknown,20,may,134,5,-1,0,unknown,no
30,blue-collar,single,secondary,no,180,no,no,cellular,14,jul,203,1,183,2,failure,no
50,blue-collar,married,secondary,no,283,yes,no,cellular,7,aug,226,3,-1,0,unknown,no
41,admin.,single,secondary,no,90,yes,no,cellular,15,may,77,2,347,4,failure,no
50,management,married,tertiary,no,0,no,no,unknown,11,jun,916,1,-1,0,unknown,no
46,blue-collar,married,primary,no,296,yes,no,unknown,4,jun,92,2,-1,0,unknown,no
33,blue-collar,single,unknown,no,129,yes,yes,cellular,30,apr,482,1,161,1,failure,yes
32,admin.,married,secondary,no,35,no,no,cellular,17,dec,324,3,126,3,success,yes
52,admin.,married,unknown,no,635,no,no,cellular,7,aug,228,4,-1,0,unknown,no
38,student,married,unknown,no,0,no,no,cellular,8,jul,341,1,385,1,failure,yes
34,blue-collar,married,secondary,no,120,yes,no,unknown,21,may,369,1,-1,0,unknown,no
26,services,single,tertiary,no,12,no,no,cellular,14,jun,563,1,181,10,failure,yes
40,services,single,secondary,no,464,yes,yes,unknown,19,may,183,7,-1,0,unknown,no
60,admin.,married,secondary,no,3735,no,no,cellular,22,sep,183,1,184,11,success,yes
33,management,married,tertiary,no,322,yes,no,cellular,16,apr,77,3,-1,0,unknown,no
37,admin.,married,secondary,no,1415,yes,no,cellular,12,may,214,2,-1,0,unknown,no
40,admin.,married,tertiary,no,0,yes,no,cellular,15,jul,125,3,-1,0,unknown,no
28,technician,single,tertiary,no,-123,no,yes,cellular,23,jul,690,1,-1,0,unknown,yes
31,management,divorced,tertiary,no,294,yes,no,cellular,17,jul,536,5,-1,0,unknown,yes
41,management,married,tertiary,no,103,no,yes,cellular,6,aug,65,2,-1,0,unknown,no
40,blue-collar,divorced,secondary,no,181,no,no,unknown,12,jun,89,6,-1,0,unknown,no
32,blue-collar,married,secondary,no,1914,yes,no,cellular,14,may,532,1,358,1,failure,no
33,technician,married,secondary,no,0,yes,yes,cellular,19,nov,163,2,-1,0,unknown,no
48,technician,married,unknown,no,74,no,no,unknown,12,jun,181,1,-1,0,unknown,no
44,management,married,tertiary,no,1954,no,no,cellular,2,jun,294,1,-1,0,unknown,yes
34,management,married,tertiary,no,156,yes,no,cellular,12,may,63,1,-1,0,unknown,no
36,technician,married,secondary,no,1286,yes,yes,unknown,29,may,152,1,-1,0,unknown,no
49,self-employed,married,tertiary,no,7254,no,no,cellular,29,jul,132,4,-1,0,unknown,no
43,technician,married,secondary,no,3049,no,no,cellular,28,jan,383,2,-1,0,unknown,no
57,unknown,divorced,unknown,no,4244,no,no,unknown,18,jun,626,5,-1,0,unknown,no
48,blue-collar,married,secondary,no,320,yes,yes,cellular,4,feb,118,1,-1,0,unknown,no
48,blue-collar,married,secondary,no,154,yes,no,unknown,27,may,70,3,-1,0,unknown,no
83,retired,married,tertiary,no,4761,no,no,telephone,8,mar,659,1,-1,0,unknown,yes
46,management,married,tertiary,no,4039,yes,no,cellular,31,jul,716,9,-1,0,unknown,no
29,student,single,secondary,no,110,yes,no,unknown,7,may,169,3,-1,0,unknown,no
44,admin.,single,secondary,no,946,yes,no,unknown,30,may,181,4,-1,0,unknown,no
50,services,married,secondary,no,1501,no,no,cellular,21,aug,946,4,-1,0,unknown,yes
28,management,single,tertiary,no,2253,yes,no,unknown,18,jun,906,2,-1,0,unknown,no
26,blue-collar,married,secondary,no,5795,yes,no,cellular,14,may,1094,2,-1,0,unknown,yes
40,admin.,single,secondary,no,2040,yes,no,cellular,18,may,906,2,350,2,failure,yes
39,management,married,tertiary,no,1425,yes,no,cellular,12,may,775,3,-1,0,unknown,yes
45,management,married,tertiary,no,786,no,no,cellular,10,sep,84,3,-1,0,unknown,yes
27,entrepreneur,married,tertiary,no,1991,no,yes,cellular,7,sep,510,1,-1,0,unknown,no
33,management,married,tertiary,no,1778,no,no,cellular,12,feb,388,1,-1,0,unknown,yes
42,blue-collar,married,primary,no,807,yes,no,cellular,19,nov,1057,1,-1,0,unknown,yes
45,blue-collar,married,primary,no,85,yes,no,unknown,8,may,162,1,-1,0,unknown,no
30,management,single,tertiary,no,502,no,no,cellular,11,oct,463,3,95,6,success,yes
40,admin.,single,secondary,no,462,yes,yes,cellular,6,apr,272,1,335,4,other,no
47,services,divorced,secondary,no,4906,yes,no,unknown,14,may,389,1,-1,0,unknown,no
46,management,married,secondary,no,0,no,no,cellular,18,nov,1855,1,-1,0,unknown,yes
29,technician,married,secondary,no,1599,yes,no,cellular,8,jul,115,1,61,1,failure,no
40,blue-collar,single,secondary,no,411,yes,no,cellular,5,may,197,1,-1,0,unknown,no
72,retired,married,tertiary,no,0,no,no,cellular,13,feb,99,1,-1,0,unknown,yes
69,retired,married,secondary,no,3588,yes,no,cellular,10,dec,429,1,-1,0,unknown,yes
30,blue-collar,divorced,secondary,yes,457,yes,no,unknown,20,jun,115,20,-1,0,unknown,no
55,retired,divorced,secondary,no,13,yes,no,cellular,11,may,190,1,300,2,failure,no
42,technician,married,tertiary,no,446,no,no,cellular,6,aug,286,3,-1,0,unknown,no
23,blue-collar,single,secondary,no,668,yes,no,cellular,18,may,857,3,-1,0,unknown,no
44,services,married,primary,no,440,no,yes,telephone,22,jul,249,21,-1,0,unknown,no
55,technician,married,secondary,yes,-308,no,no,cellular,2,feb,781,1,-1,0,unknown,yes
32,housemaid,married,primary,no,0,yes,no,cellular,9,jul,90,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,-304,yes,yes,unknown,2,jun,178,4,-1,0,unknown,no
41,blue-collar,married,primary,no,449,yes,no,cellular,20,apr,10,6,-1,0,unknown,no
41,entrepreneur,married,secondary,no,707,no,no,unknown,18,jun,707,1,-1,0,unknown,yes
25,management,single,tertiary,no,4578,no,no,cellular,2,jun,100,1,-1,0,unknown,no
39,management,married,secondary,no,46,yes,no,cellular,26,aug,298,10,-1,0,unknown,no
32,blue-collar,married,secondary,no,101,yes,no,unknown,19,may,191,4,-1,0,unknown,no
34,admin.,married,secondary,no,395,yes,no,cellular,14,apr,258,8,-1,0,unknown,no
36,services,married,secondary,no,4721,no,no,cellular,9,dec,149,3,-1,0,unknown,yes
48,blue-collar,divorced,primary,no,24,yes,no,unknown,14,may,832,1,-1,0,unknown,yes
41,entrepreneur,married,secondary,no,547,no,no,cellular,29,jul,365,2,-1,0,unknown,no
30,technician,married,tertiary,no,81,no,no,cellular,28,aug,51,1,-1,0,unknown,no
33,technician,single,secondary,no,163,yes,no,cellular,20,aug,627,2,-1,0,unknown,yes
36,technician,married,tertiary,no,521,no,no,cellular,20,oct,347,3,-1,0,unknown,yes
45,admin.,married,secondary,no,1435,yes,no,cellular,11,aug,201,1,103,1,failure,no
56,technician,divorced,secondary,no,146,yes,no,cellular,5,aug,419,3,-1,0,unknown,yes
31,blue-collar,married,primary,no,2,yes,yes,cellular,10,jul,112,1,-1,0,unknown,no
36,services,married,secondary,no,1981,no,no,unknown,17,jun,48,2,-1,0,unknown,no
31,technician,married,secondary,no,344,yes,no,unknown,7,may,123,1,-1,0,unknown,no
42,admin.,single,secondary,no,150,no,yes,cellular,29,jul,135,2,-1,0,unknown,no
28,management,married,tertiary,no,103,yes,no,unknown,16,may,461,2,-1,0,unknown,no
28,blue-collar,single,secondary,no,4229,yes,yes,cellular,5,may,205,2,-1,0,unknown,no
50,technician,divorced,secondary,no,-54,yes,yes,cellular,13,may,698,2,292,1,failure,yes
53,self-employed,divorced,secondary,no,8112,yes,yes,cellular,20,nov,64,1,-1,0,unknown,no
47,blue-collar,married,primary,no,333,yes,no,cellular,21,nov,118,1,113,4,failure,no
23,technician,single,secondary,no,4,yes,no,cellular,8,may,763,1,-1,0,unknown,yes
45,management,married,secondary,no,424,yes,yes,cellular,12,aug,216,5,-1,0,unknown,no
22,unemployed,single,tertiary,no,993,no,no,cellular,28,jul,115,3,93,1,other,yes
34,management,married,tertiary,no,303,yes,no,cellular,29,jan,50,1,195,2,failure,no
54,housemaid,married,secondary,no,1977,no,no,unknown,16,jun,69,3,-1,0,unknown,no
40,technician,single,tertiary,no,1646,yes,no,cellular,4,aug,173,1,92,5,success,yes
36,management,married,tertiary,no,699,no,no,cellular,23,jul,125,1,-1,0,unknown,no
37,management,married,tertiary,no,238,no,no,cellular,3,feb,185,1,92,1,success,yes
28,blue-collar,single,secondary,no,524,yes,no,cellular,6,may,554,2,-1,0,unknown,yes
45,admin.,divorced,secondary,no,875,yes,yes,unknown,23,may,292,2,-1,0,unknown,no
41,technician,married,tertiary,no,231,no,no,cellular,26,aug,428,2,-1,0,unknown,yes
43,management,divorced,tertiary,no,497,no,no,cellular,13,may,66,1,363,22,failure,no
64,retired,married,primary,no,440,no,no,cellular,6,feb,495,1,-1,0,unknown,yes
45,services,married,secondary,no,222,no,no,cellular,25,aug,119,11,-1,0,unknown,no
28,services,married,secondary,no,20,yes,yes,unknown,8,may,252,2,-1,0,unknown,no
37,blue-collar,married,secondary,no,121,yes,no,unknown,8,may,617,2,-1,0,unknown,no
44,unemployed,single,secondary,no,3945,no,no,cellular,28,jan,255,1,-1,0,unknown,no
26,technician,single,tertiary,no,1274,no,no,telephone,29,jan,475,2,-1,0,unknown,no
44,unemployed,married,primary,no,1,no,no,cellular,29,jan,229,1,-1,0,unknown,no
31,technician,single,tertiary,no,948,yes,no,unknown,8,may,91,2,-1,0,unknown,no
25,management,single,tertiary,no,943,no,no,cellular,30,apr,512,1,-1,0,unknown,yes
56,retired,married,secondary,no,6114,no,no,telephone,29,jul,168,2,-1,0,unknown,no
31,admin.,married,secondary,no,1229,no,no,cellular,12,apr,176,1,-1,0,unknown,yes
24,student,single,secondary,no,23878,no,no,cellular,26,may,133,1,97,1,success,yes
24,blue-collar,married,secondary,no,0,yes,no,cellular,20,apr,83,3,306,4,failure,no
60,retired,divorced,tertiary,no,4,yes,no,cellular,2,dec,415,1,190,5,failure,yes
46,management,married,tertiary,no,1103,yes,no,cellular,13,may,185,2,278,3,failure,no
56,unemployed,married,primary,no,5496,yes,no,cellular,3,feb,330,3,-1,0,unknown,no
31,self-employed,married,tertiary,no,94,no,no,cellular,22,aug,579,2,-1,0,unknown,yes
39,blue-collar,single,primary,no,207,no,yes,unknown,16,jun,35,3,-1,0,unknown,no
42,admin.,divorced,secondary,no,63,no,no,unknown,16,may,88,6,-1,0,unknown,no
32,blue-collar,married,primary,no,233,yes,no,cellular,15,may,391,2,-1,0,unknown,no
52,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,may,755,1,-1,0,unknown,yes
34,blue-collar,married,secondary,no,1650,yes,yes,telephone,22,jul,351,11,-1,0,unknown,no
46,services,married,secondary,no,2019,yes,no,unknown,8,may,357,1,-1,0,unknown,no
26,management,single,tertiary,no,3178,no,no,cellular,2,jun,64,1,-1,0,unknown,no
39,blue-collar,married,secondary,no,535,yes,no,cellular,20,apr,89,3,-1,0,unknown,no
31,technician,married,secondary,no,2363,yes,no,unknown,13,may,247,1,-1,0,unknown,no
28,blue-collar,married,secondary,no,6,yes,no,unknown,9,may,254,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,664,yes,yes,unknown,21,may,987,3,-1,0,unknown,no
35,services,married,secondary,yes,-182,yes,no,cellular,8,may,270,2,-1,0,unknown,no
30,management,married,tertiary,no,8623,no,no,cellular,8,apr,163,3,-1,0,unknown,no
43,management,single,tertiary,no,690,yes,no,unknown,30,may,58,1,-1,0,unknown,no
33,self-employed,single,primary,no,4443,no,no,telephone,23,jul,25,6,-1,0,unknown,no
44,management,single,tertiary,no,1277,yes,no,cellular,17,apr,77,1,268,4,other,no
60,retired,divorced,secondary,no,598,no,yes,cellular,8,jul,96,1,-1,0,unknown,no
45,management,married,tertiary,no,10,no,no,cellular,26,aug,133,7,-1,0,unknown,no
35,blue-collar,married,secondary,no,1831,yes,no,cellular,13,may,96,2,358,2,failure,no
48,management,married,tertiary,no,2351,no,no,cellular,15,sep,150,1,105,3,success,yes
36,blue-collar,divorced,secondary,no,-523,yes,yes,cellular,11,may,193,1,333,17,other,no
47,services,divorced,secondary,no,691,no,no,cellular,6,feb,285,6,-1,0,unknown,no
44,management,married,tertiary,no,1850,yes,no,cellular,6,may,274,1,-1,0,unknown,no
39,management,married,tertiary,no,0,no,no,telephone,16,jul,41,6,-1,0,unknown,no
46,blue-collar,married,secondary,no,-27,yes,no,cellular,11,may,254,1,-1,0,unknown,no
24,services,single,secondary,yes,-122,yes,no,unknown,13,may,1000,1,-1,0,unknown,yes
59,retired,married,secondary,no,0,yes,no,cellular,30,jul,73,4,-1,0,unknown,no
36,admin.,divorced,secondary,no,50,yes,no,cellular,6,may,222,1,-1,0,unknown,no
57,admin.,married,primary,no,286,no,no,cellular,5,aug,100,3,-1,0,unknown,no
24,unemployed,single,secondary,no,2573,no,no,cellular,24,may,375,2,-1,0,unknown,yes
36,blue-collar,married,primary,no,272,no,no,unknown,11,jun,222,2,-1,0,unknown,no
42,services,single,tertiary,no,94,yes,no,cellular,11,aug,176,2,90,4,failure,yes
45,housemaid,married,primary,no,7353,no,no,cellular,13,aug,536,2,-1,0,unknown,no
49,management,single,secondary,no,-18,yes,no,cellular,11,may,217,3,264,4,failure,no
47,technician,married,secondary,no,-59,yes,yes,cellular,11,may,502,1,343,2,failure,no
58,retired,married,secondary,no,14412,no,no,cellular,18,nov,297,1,-1,0,unknown,no
38,services,single,secondary,no,895,yes,no,cellular,12,may,1531,1,-1,0,unknown,yes
44,management,divorced,primary,no,641,yes,no,cellular,5,feb,79,2,269,3,other,no
43,blue-collar,divorced,primary,no,6,yes,no,unknown,27,may,112,4,-1,0,unknown,no
41,admin.,married,secondary,no,437,yes,no,cellular,2,feb,138,1,-1,0,unknown,no
41,technician,divorced,secondary,no,4047,yes,no,cellular,18,feb,343,1,-1,0,unknown,yes
32,blue-collar,married,secondary,no,8957,no,no,cellular,20,nov,145,1,-1,0,unknown,no
69,retired,married,secondary,no,0,no,no,cellular,25,aug,412,2,-1,0,unknown,yes
46,unknown,married,unknown,no,2505,no,no,unknown,6,jun,135,2,-1,0,unknown,no
38,services,single,secondary,no,91,no,no,cellular,2,mar,207,1,-1,0,unknown,yes
59,technician,married,tertiary,no,6573,yes,no,telephone,10,nov,4918,1,-1,0,unknown,no
40,technician,single,secondary,no,641,no,no,cellular,16,jul,156,6,-1,0,unknown,no
32,blue-collar,married,secondary,no,783,yes,no,unknown,21,may,923,3,-1,0,unknown,yes
30,admin.,single,secondary,no,1027,yes,no,cellular,27,may,136,2,114,1,success,no
75,retired,married,secondary,no,3771,no,no,telephone,15,apr,185,1,181,2,success,yes
33,services,married,secondary,no,255,yes,yes,cellular,5,may,237,4,165,4,failure,no
38,services,married,secondary,no,0,no,yes,cellular,16,jul,1473,6,-1,0,unknown,no
52,management,married,tertiary,no,3634,no,no,cellular,8,feb,341,8,-1,0,unknown,yes
35,blue-collar,divorced,secondary,no,1780,yes,no,cellular,15,may,306,3,347,9,failure,no
32,management,single,tertiary,no,-217,yes,yes,cellular,18,aug,129,4,-1,0,unknown,no
52,retired,married,tertiary,no,2269,no,no,unknown,20,jun,1210,1,-1,0,unknown,yes
61,retired,married,secondary,no,2917,no,no,cellular,6,oct,215,1,-1,0,unknown,yes
41,services,divorced,secondary,yes,-198,no,yes,unknown,14,may,133,1,-1,0,unknown,no
45,management,divorced,tertiary,no,2096,no,no,cellular,21,nov,127,1,100,2,failure,no
51,admin.,married,secondary,no,1699,no,no,unknown,5,jun,153,2,-1,0,unknown,no
37,management,divorced,tertiary,no,168,yes,no,unknown,5,jun,227,1,-1,0,unknown,no
29,blue-collar,married,secondary,no,23,yes,no,unknown,14,may,219,4,-1,0,unknown,no
23,services,single,secondary,no,870,no,no,cellular,6,jul,316,4,-1,0,unknown,yes
28,self-employed,married,secondary,no,123,no,yes,telephone,22,oct,313,1,-1,0,unknown,yes
50,management,married,tertiary,no,3463,no,yes,cellular,28,oct,96,1,-1,0,unknown,yes
56,blue-collar,married,secondary,no,1521,yes,yes,cellular,21,nov,19,2,179,3,other,no
40,admin.,divorced,secondary,no,4,yes,no,cellular,9,jul,189,1,-1,0,unknown,no
41,management,divorced,tertiary,no,25,yes,yes,cellular,26,mar,117,2,-1,0,unknown,yes
30,management,married,tertiary,no,388,no,no,cellular,13,aug,157,1,-1,0,unknown,no
58,management,divorced,tertiary,no,5037,yes,no,cellular,18,nov,1437,2,-1,0,unknown,yes
69,retired,married,secondary,no,2473,no,no,cellular,8,jul,967,3,-1,0,unknown,yes
42,services,married,unknown,no,1340,no,yes,cellular,30,jul,88,5,-1,0,unknown,no
45,technician,married,secondary,no,118,yes,no,unknown,7,may,208,2,-1,0,unknown,no
40,blue-collar,married,primary,no,5560,yes,no,unknown,11,jun,93,3,-1,0,unknown,no
40,technician,divorced,tertiary,no,4736,yes,no,cellular,11,feb,285,2,-1,0,unknown,yes
51,admin.,married,secondary,no,684,yes,no,cellular,20,nov,68,1,-1,0,unknown,no
33,blue-collar,single,secondary,no,-416,yes,no,unknown,16,may,767,2,-1,0,unknown,yes
47,blue-collar,divorced,secondary,no,3823,yes,yes,cellular,17,apr,647,2,-1,0,unknown,no
44,admin.,single,secondary,no,4492,no,yes,cellular,31,jul,19,13,-1,0,unknown,no
34,blue-collar,single,primary,no,79,no,no,telephone,10,jul,336,4,-1,0,unknown,yes
60,retired,married,secondary,no,523,no,no,cellular,13,aug,192,3,-1,0,unknown,yes
55,entrepreneur,married,tertiary,no,82,no,no,cellular,3,jun,97,1,-1,0,unknown,no
43,blue-collar,married,secondary,no,-111,yes,no,unknown,29,may,132,3,-1,0,unknown,no
28,student,single,secondary,no,197,yes,no,cellular,12,may,32,1,-1,0,unknown,no
35,technician,single,tertiary,no,670,no,no,cellular,13,apr,278,4,182,2,success,yes
35,blue-collar,married,secondary,no,485,yes,no,cellular,16,apr,49,1,-1,0,unknown,no
33,blue-collar,single,secondary,no,498,no,no,cellular,30,apr,301,1,-1,0,unknown,yes
37,services,married,secondary,no,3429,yes,yes,unknown,26,may,81,8,-1,0,unknown,no
54,services,married,secondary,no,-22,no,yes,cellular,9,jul,85,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,387,yes,yes,cellular,13,may,413,1,-1,0,unknown,no
36,blue-collar,single,unknown,no,185,yes,yes,cellular,17,apr,301,2,-1,0,unknown,no
33,blue-collar,married,secondary,no,798,yes,no,cellular,12,may,337,1,-1,0,unknown,no
38,unemployed,married,tertiary,no,9881,no,no,cellular,29,jul,497,2,-1,0,unknown,no
49,technician,married,secondary,no,633,no,no,cellular,5,aug,201,2,-1,0,unknown,no
58,technician,married,secondary,no,592,no,no,unknown,17,jun,206,1,-1,0,unknown,no
26,blue-collar,single,secondary,no,96,yes,no,unknown,12,may,181,2,-1,0,unknown,no
41,technician,single,unknown,no,356,yes,no,unknown,13,may,93,2,-1,0,unknown,no
29,admin.,divorced,secondary,no,201,yes,no,unknown,4,jun,121,3,-1,0,unknown,no
52,retired,divorced,primary,no,-779,yes,yes,cellular,17,apr,709,1,-1,0,unknown,yes
36,management,married,tertiary,no,255,no,no,cellular,25,aug,242,6,95,4,success,yes
28,technician,single,tertiary,no,0,yes,no,cellular,12,aug,150,1,79,3,success,no
27,student,single,secondary,no,253,no,no,cellular,25,may,242,2,-1,0,unknown,yes
51,entrepreneur,married,primary,no,512,no,no,cellular,18,nov,328,1,-1,0,unknown,no
57,blue-collar,married,primary,no,3109,no,no,cellular,15,sep,107,2,105,2,success,yes
67,retired,married,primary,no,2391,no,no,cellular,28,jun,737,6,186,10,other,yes
44,blue-collar,divorced,secondary,no,1258,yes,no,cellular,6,feb,607,4,-1,0,unknown,no
46,admin.,divorced,secondary,no,98,yes,yes,cellular,12,may,91,1,-1,0,unknown,no
30,management,single,secondary,no,-383,yes,no,cellular,18,may,170,1,-1,0,unknown,no
34,unemployed,married,secondary,no,978,no,no,cellular,24,mar,132,1,-1,0,unknown,yes
59,retired,married,unknown,no,0,no,no,unknown,8,may,425,6,-1,0,unknown,no
34,management,married,tertiary,no,0,no,no,cellular,3,jul,122,1,72,1,failure,no
36,blue-collar,married,secondary,no,928,no,no,cellular,17,apr,224,3,-1,0,unknown,no
49,services,single,secondary,no,5028,yes,no,unknown,12,may,891,1,-1,0,unknown,no
48,entrepreneur,married,secondary,no,151,no,no,cellular,16,jul,191,1,-1,0,unknown,no
58,unemployed,married,secondary,no,2690,no,no,cellular,7,aug,142,2,-1,0,unknown,no
43,unemployed,single,tertiary,no,983,yes,no,cellular,26,feb,97,1,-1,0,unknown,yes
57,technician,married,primary,no,67,no,no,unknown,5,jun,67,1,-1,0,unknown,no
35,services,divorced,secondary,no,-121,yes,yes,cellular,1,apr,73,1,-1,0,unknown,no
67,retired,married,primary,no,942,no,no,cellular,6,nov,455,2,84,2,other,yes
34,technician,married,secondary,no,22,no,no,cellular,21,aug,270,3,-1,0,unknown,no
32,technician,married,tertiary,no,0,yes,yes,cellular,29,jan,223,1,261,2,failure,no
34,blue-collar,married,primary,no,218,yes,yes,unknown,21,may,260,1,-1,0,unknown,no
56,management,married,tertiary,no,0,no,yes,unknown,20,jun,422,1,-1,0,unknown,yes
29,technician,single,secondary,no,590,no,no,cellular,25,may,124,1,-1,0,unknown,yes
33,services,single,tertiary,no,395,yes,no,cellular,23,jul,1359,6,-1,0,unknown,yes
32,management,married,tertiary,no,410,yes,no,cellular,26,may,252,2,-1,0,unknown,no
42,blue-collar,married,primary,no,-407,yes,yes,cellular,12,may,829,7,-1,0,unknown,yes
38,blue-collar,single,primary,no,116,no,yes,unknown,30,jun,203,1,-1,0,unknown,no
35,admin.,married,tertiary,no,318,yes,yes,cellular,1,oct,142,1,-1,0,unknown,no
36,technician,married,tertiary,no,202,no,no,cellular,1,jun,206,1,192,1,failure,no
